Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url
Veterans Drive & McKay Road West,South Barrie,Aspen Ridge Homes,Barrie,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/barrie-on/south-barrie1,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/south-barrie1
Mapleview Drive East & Yonge Street,GO Towns,DECO Homes,Barrie,ON,Canada,,2023,Townhomes,,2023,,https://www.livabl.com/barrie-on/go-towns1,"From $879,990",2 - 3 bd,1551 - 2153 SqFt,https://www.livabl.com/barrie-on/go-towns1
Mapleview Dr E & Yonge St,GO Towns,,Barrie,ON,Canada,,,,,,,https://www.livabl.com/barrie-on/go-towns--mpc,"From $784,990",2 - 3 bd,,https://www.livabl.com/barrie-on/go-towns--mpc
West Oak Trail,Terra Barrie,Great Gulf,Barrie,ON,Canada,,2025,Single Family Homes,,2025,,https://www.livabl.com/barrie-on/terra-barrie,"From $1,004,990",4 - 5 bd,1835 - 3145 SqFt,https://www.livabl.com/barrie-on/terra-barrie
Mapleview Dr E & Yonge St,Terra Barrie,,Barrie,ON,Canada,,,,,,,https://www.livabl.com/barrie-on/terra-barrie--mpc,"From $1,004,990",4 - 5 bd,,https://www.livabl.com/barrie-on/terra-barrie--mpc
Mapleview Drive East & 20th Sideroad,Mapleview Park,Fernbrook Homes and Tiffany Park Homes,Barrie,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/barrie-on/mapleview-park1,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/mapleview-park1
Mapleview Drive East & Yonge Street,Hewitt's Gate,Pratt Homes,Barrie,ON,Canada,,,"Condos, Towns & Singles",,,,https://www.livabl.com/barrie-on/hewitts-gate2,"From $729,990",1 - 4 bd,488 - 2710 SqFt,https://www.livabl.com/barrie-on/hewitts-gate2
723 Mapleview Dr E,Hewitt's Gate,Pratt Homes,Barrie,ON,Canada,,,Community,,,,https://www.livabl.com/barrie-on/hewitts-gate--mpc,"From $695,000",1 - 4 bd,,https://www.livabl.com/barrie-on/hewitts-gate--mpc
Veterans Drive & McKay Road West,South Barrie,CountryWide Homes,Barrie,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/barrie-on/south-barrie,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/south-barrie
Mapleview Drive East & Yonge Street,GO Towns,OPUS Homes,Barrie,ON,Canada,,,Townhomes,,,,https://www.livabl.com/barrie-on/go-towns,"From $784,990",2 - 2.5 bd,1225 - 1764 SqFt,https://www.livabl.com/barrie-on/go-towns
Mapleview Drive East & Kneeshaw Drive,Hewitt's Gate,Bradley Homes,Barrie,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/barrie-on/hewitts-gate,"From $695,000",2 - 7 bd,1167 - 4844 SqFt,https://www.livabl.com/barrie-on/hewitts-gate
152 Miller Drive,West Forest Estates,,Barrie,ON,Canada,,2024,Single Family Homes,,2024,,https://www.livabl.com/barrie-on/west-forest-estates,From $0,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/west-forest-estates
1 Milburn Street,Lakeview Towns,Lakeview Townhomes (Barrie) Inc.,Barrie,ON,Canada,,,Townhomes,,,,https://www.livabl.com/barrie-on/lakeview-towns,"From $959,000",3 bd,1856 SqFt,https://www.livabl.com/barrie-on/lakeview-towns
55 McDonald Street,The Residences on Owen,Ballantry Homes,Barrie,ON,Canada,,,Condos & Towns,,,,https://www.livabl.com/barrie-on/the-residences-on-owen,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/the-residences-on-owen
1328 Queen Street West,Spring Valley Estates,Pearl Valley Homes Inc.,Brampton,ON,Canada,,2025,Single Family Homes,,2025,,https://www.livabl.com/brampton-on/spring-valley-estates2,"From $1,650,000",4 - 5 bd,2918 - 5664 SqFt,https://www.livabl.com/brampton-on/spring-valley-estates2
Brampton,Avion Estate Collection,Treasure Hill Homes,ON,,Canada,,Now,Single Family Homes,,Now,,https://www.livabl.com/brampton-on/avion-estate-collection,Register Now,Floorplans coming soon bd,,https://www.livabl.com/brampton-on/avion-estate-collection
Valleyway Drive & Chinguacousy Road,ValleyOak,Paradise Developments,Brampton,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/brampton-on/valleyoak,Register Now,5 bd,2890 - 3025 SqFt,https://www.livabl.com/brampton-on/valleyoak
11613 Bramalea Road,Maya Urban Towns,LIV Communities,Brampton,ON,Canada,,,Townhomes,,,,https://www.livabl.com/brampton-on/maya-urban-towns,"From $819,990",2 - 3 bd,1368 - 1686 SqFt,https://www.livabl.com/brampton-on/maya-urban-towns
1 Knotsberry Circle,Forest Gate at Lionhead Phase II,Kaneff Corporation,Brampton,ON,Canada,,Now,Townhomes,,Now,,https://www.livabl.com/brampton-on/forest-gate-at-lionhead-phase-ii,"From $1,070,000",2 bd,1237 - 1308 SqFt,https://www.livabl.com/brampton-on/forest-gate-at-lionhead-phase-ii
1 Knotsberry Cir,Forest Gate at Lionhead,,Brampton,ON,Canada,,,,,,,https://www.livabl.com/brampton-on/forest-gate-at-lionhead--mpc,"From $1,070,000",2 bd,,https://www.livabl.com/brampton-on/forest-gate-at-lionhead--mpc
10783 Creditview Road,Cadillac on Credit,Marina Group Canada,Brampton,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/brampton-on/cadillac-on-credit,"From $1,349,990",4 bd,1841 SqFt,https://www.livabl.com/brampton-on/cadillac-on-credit
The Gore Road & Cottrelle Boulevard,The Castle Mile,DECO Homes,Brampton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/brampton-on/the-castle-mile3,Register Now,Floorplans coming soon bd,,https://www.livabl.com/brampton-on/the-castle-mile3
The Gore Rd & Gardenbrooke Trail,The Castle Mile,,Brampton,ON,Canada,,,,,,,https://www.livabl.com/brampton-on/the-castle-mile--mpc,,Floorplans coming soon bd,,https://www.livabl.com/brampton-on/the-castle-mile--mpc
225 Malta Avenue,Stella 2 Condos,i2 Developments,Brampton,ON,Canada,,2027,Condos,,2027,,https://www.livabl.com/brampton-on/stella-2-condos,"From $659,998",1.5 - 2 bd,545 - 836 SqFt,https://www.livabl.com/brampton-on/stella-2-condos
11772 McLaughlin Road North,Mayfield in Mount Pleasant,CedarOak Homes,Brampton,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/brampton-on/mayfield-in-mount-pleasant,Register Now,Floorplans coming soon bd,,https://www.livabl.com/brampton-on/mayfield-in-mount-pleasant
Affusion Road,The Enclaves At Mount Pleasant North,Cresthill Homes,Brampton,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/brampton-on/the-enclaves-at-mount-pleasant-north,"From $1,950,000",4 bd,2818 SqFt,https://www.livabl.com/brampton-on/the-enclaves-at-mount-pleasant-north
Mississauga Rd & Mayfield Rd,Mount Pleasant North,,Brampton,ON,Canada,,,,,,,https://www.livabl.com/regional-municipality-of-peel-on/mount-pleasant-north--mpc,"From $1,950,000",4 bd,,https://www.livabl.com/regional-municipality-of-peel-on/mount-pleasant-north--mpc
Mayfield Road & Torbram Road,Countryside Fields - Phase 4,Digreen Homes,Brampton,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/brampton-on/countryside-fields--phase-4,Register Now,4 bd,2700 - 2890 SqFt,https://www.livabl.com/brampton-on/countryside-fields--phase-4
Torbram Rd & Mayfield Rd,Countryside Fields,Digreen Homes,Brampton,ON,Canada,,,Community,,,,https://www.livabl.com/brampton-on/countryside-fields--mpc,,4 bd,,https://www.livabl.com/brampton-on/countryside-fields--mpc
4316 Ebenezer Road,Bridle Trail Urban Towns,Your Home Developments,Brampton,ON,Canada,,,Townhomes,,,,https://www.livabl.com/brampton-on/bridle-trail-urban-towns,Register Now,2 - 3 bd,1011 - 1242 SqFt,https://www.livabl.com/brampton-on/bridle-trail-urban-towns
Mississauga Road & Mayfield Road,High Point,Paradise Developments,Brampton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/brampton-on/high-point,Register Now,Floorplans coming soon bd,,https://www.livabl.com/brampton-on/high-point
Torbram Road & Countryside Drive,Torbram Countryside Crossing - Phase 2,Digreen Homes,Brampton,ON,Canada,,,Townhomes,,,,https://www.livabl.com/brampton-on/torbram-countryside-crossing--phase-2,Register Now,Floorplans coming soon bd,,https://www.livabl.com/brampton-on/torbram-countryside-crossing--phase-2
Countryside Dr & Torbram Rd,Torbram Countryside Crossing,Digreen Homes,Brampton,ON,Canada,,,Community,,,,https://www.livabl.com/brampton-on/torbram-countryside-crossing--mpc,,Floorplans coming soon bd,,https://www.livabl.com/brampton-on/torbram-countryside-crossing--mpc
12 Henderson Avenue,Downtown Aura,Umbria,Brampton,ON,Canada,,2025,Townhomes,,2025,,https://www.livabl.com/brampton-on/downtown-aura,"From $798,900",3 bd,989 - 1225 SqFt,https://www.livabl.com/brampton-on/downtown-aura
Mayfield Road,River's Bend,The Conservatory Group,Caledon,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/caledon-on/rivers-bend,Register Now,Floorplans coming soon bd,,https://www.livabl.com/caledon-on/rivers-bend
Bovaird Drive West & Mississauga Road,Honeystone,DECO Homes,Brampton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/brampton-on/honeystone,"From the mid $800,000's",Floorplans coming soon bd,,https://www.livabl.com/brampton-on/honeystone
172 Church Street East,Kennedy Commons,Sunfield Homes Ltd.,Brampton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/brampton-on/kennedy-commons,Register Now,Floorplans coming soon bd,,https://www.livabl.com/brampton-on/kennedy-commons
8291 Mississauga Road,OMG 2 Condos,The Daniels Corporation,Brampton,ON,Canada,,2023,Condos,,2023,,https://www.livabl.com/brampton-on/omg-2-condos,"From $653,900",1 bd,609 SqFt,https://www.livabl.com/brampton-on/omg-2-condos
4567 Lougheed Highway,The Amazing Brentwood- Tower 6,Shape Properties,Burnaby,BC,Canada,,2028,Condos,,2028,,https://www.livabl.com/burnaby-bc/the-amazing-brentwood-tower-6,"From $800,000",1 - 3 bd,457 - 912 SqFt,https://www.livabl.com/burnaby-bc/the-amazing-brentwood-tower-6
6511 Sussex Avenue,The Sky Estates of Highline Metrotown,Thind,Burnaby,BC,Canada,,2023,Condos,,2023,,https://www.livabl.com/burnaby-bc/the-sky-estates-of-highline-metrotown1,Now Selling,1 - 3 bd,512 - 1217 SqFt,https://www.livabl.com/burnaby-bc/the-sky-estates-of-highline-metrotown1
6280 Willingdon Avenue,Reign,Wesgroup,Burnaby,BC,Canada,,,Condos,,,,https://www.livabl.com/burnaby-bc/reign,Register Now,Floorplans coming soon bd,,https://www.livabl.com/burnaby-bc/reign
4960 Bennett Street,Riviera,Ledingham McAllister,Burnaby,BC,Canada,,2025,Condos,,2025,,https://www.livabl.com/burnaby-bc/riviera,Register Now,Floorplans coming soon bd,,https://www.livabl.com/burnaby-bc/riviera
5351 Goring Street,Etoile Gold,Millennium Development,Burnaby,BC,Canada,,2028,Condos & Towns,,2028,,https://www.livabl.com/burnaby-bc/etoile-gold,"From $559,900",1.5 - 3.5 bd,422 - 1977 SqFt,https://www.livabl.com/burnaby-bc/etoile-gold
6692 Royal Oak Avenue,Nido,Wanson Group,Burnaby,BC,Canada,,2026,Condos,,2026,,https://www.livabl.com/burnaby-bc/nido,Register Now,Floorplans coming soon bd,,https://www.livabl.com/burnaby-bc/nido
7201 11th Avenue,Icon at Southgate City,Ledingham McAllister,Burnaby,BC,Canada,,2025,Condos,,2025,,https://www.livabl.com/burnaby-bc/icon-at-southgate-city,"From $729,900",1 - 3.5 bd,613 - 1108 SqFt,https://www.livabl.com/burnaby-bc/icon-at-southgate-city
2463 Beta Avenue,Thind Brentwood - Lumina (Eclipse),Thind,Burnaby,BC,Canada,,2024,Condos,,2024,,https://www.livabl.com/burnaby-bc/thind-brentwood--lumina-eclipse,"From $594,900",Studio - 3 bd,478 - 1157 SqFt,https://www.livabl.com/burnaby-bc/thind-brentwood--lumina-eclipse
5895 Barker Avenue,GREENHOUSE by Concord Pacific,Concord Pacific,Burnaby,BC,Canada,,2028,Condos,,2028,,https://www.livabl.com/burnaby-bc/greenhouse-by-concord-pacific,Now Selling,Floorplans coming soon bd,,https://www.livabl.com/burnaby-bc/greenhouse-by-concord-pacific
3888 Evergreen Place,The City of Lougheed - Tower THREE,Shape Properties,Burnaby,BC,Canada,,Now,Condos,,Now,,https://www.livabl.com/burnaby-bc/the-city-of-lougheed--tower-three,Now Selling,1 - 3.5 bd,535 - 1273 SqFt,https://www.livabl.com/burnaby-bc/the-city-of-lougheed--tower-three
3355 North Road,Impressions,Onni Group of Companies,Burnaby,BC,Canada,,,Condos & Towns,,,,https://www.livabl.com/burnaby-bc/impressions,Register Now,Floorplans coming soon bd,,https://www.livabl.com/burnaby-bc/impressions
9688 University Crescent,Arbour,Intergulf Development Group,Burnaby,BC,Canada,,2025,Condos & Towns,,2025,,https://www.livabl.com/burnaby-bc/arbour2,"From $529,900",1 - 3.5 bd,598 - 1304 SqFt,https://www.livabl.com/burnaby-bc/arbour2
4750 Kingsway,Concord Metrotown - Grand Tower,Concord Pacific,Burnaby,BC,Canada,,2026,Condos,,2026,,https://www.livabl.com/burnaby-bc/concord-metrotown--grand-tower,Register Now,Floorplans coming soon bd,,https://www.livabl.com/burnaby-bc/concord-metrotown--grand-tower
3588 Wayburne Drive,Moonlight Sonata,Symphony Homes Limited,Burnaby,BC,Canada,,2025,Townhomes,,2025,,https://www.livabl.com/burnaby-bc/moonlight-sonata,Now Selling,3 - 4 bd,1186 - 1440 SqFt,https://www.livabl.com/burnaby-bc/moonlight-sonata
6468 Willingdon Avenue,The Standard,Anthem,Burnaby,BC,Canada,,2025,Condos & Towns,,2025,,https://www.livabl.com/burnaby-bc/the-standard,Register Now,1 - 3 bd,425 - 1080 SqFt,https://www.livabl.com/burnaby-bc/the-standard
5685 Halley Avenue,Artesia,Qualex-Landmark,Burnaby,BC,Canada,,2025,Condos & Towns,,2025,,https://www.livabl.com/burnaby-bc/artesia,"From $668,000",1 - 3 bd,497 - 1218 SqFt,https://www.livabl.com/burnaby-bc/artesia
7662 18th Street,Azure 2,Ledingham McAllister,Burnaby,BC,Canada,,,Condos,,,,https://www.livabl.com/burnaby-bc/azure-2,"From $709,900",1 - 3 bd,610 - 1172 SqFt,https://www.livabl.com/burnaby-bc/azure-2
4285 Dawson Street,Akimbo,IMANI Development,Burnaby,BC,Canada,,Now,Condos,,Now,,https://www.livabl.com/burnaby-bc/akimbo,"From $689,900",1 - 3.5 bd,560 - 1175 SqFt,https://www.livabl.com/burnaby-bc/akimbo
4433 Alaska Street,Alaska,Amacon,Burnaby,BC,Canada,,2023,Condos,,2023,,https://www.livabl.com/burnaby-bc/alaska,"From $1,829,900",3 - 3.5 bd,1409 - 1547 SqFt,https://www.livabl.com/burnaby-bc/alaska
319 North Road,SOCO Two,Anthem,Burnaby,BC,Canada,,2025,Condos,,2025,,https://www.livabl.com/burnaby-bc/soco-two,"From $399,900",Studio - 1.5 bd,427 - 539 SqFt,https://www.livabl.com/burnaby-bc/soco-two
6035 Wilson Avenue,Solhouse 6035,Bosa Properties,Burnaby,BC,Canada,,2028,Condos,,2028,,https://www.livabl.com/burnaby-bc/solhouse-6035,Now Selling,Studio - 3 bd,457 - 1060 SqFt,https://www.livabl.com/burnaby-bc/solhouse-6035
6075 Wilson Avenue,Nuvo,Anthem,Burnaby,BC,Canada,,2026,Condos & Towns,,2026,,https://www.livabl.com/burnaby-bc/nuvo,Register Now,Floorplans coming soon bd,,https://www.livabl.com/burnaby-bc/nuvo
6438 Byrnepark Drive,Byrnepark - Townhomes,Polygon Homes,Burnaby,BC,Canada,,Now,Townhomes,,Now,,https://www.livabl.com/burnaby-bc/byrnepark--townhomes,"From $1,558,000",4.5 bd,1558 - 1729 SqFt,https://www.livabl.com/burnaby-bc/byrnepark--townhomes
6540 Marlborough Avenue,Metro21,Shokai Canada,Burnaby,BC,Canada,,,Condos,,,,https://www.livabl.com/burnaby-bc/metro211,Register Now,Floorplans coming soon bd,,https://www.livabl.com/burnaby-bc/metro211
204 Cranbrook Drive Southeast,Cranston's Riverstone,Brookfield Residential,Calgary,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/calgary-ab/cranstons-riverstone6,"From $707,900",1 - 3 bd,1421 - 2634 SqFt,https://www.livabl.com/calgary-ab/cranstons-riverstone6
145 Corner Meadows Way Northeast,The Centro in Cornerstone,Luxuria Homes,Calgary,AB,Canada,,2024,Townhomes,,2024,,https://www.livabl.com/calgary-ab/the-centro-in-cornerstone,"From $454,425",3 bd,1346 - 1413 SqFt,https://www.livabl.com/calgary-ab/the-centro-in-cornerstone
Belmont Boulevard Southwest,The Restaare in Belmont,Luxuria Homes,Calgary,AB,Canada,,2025,Townhomes,,2025,,https://www.livabl.com/calgary-ab/the-restaare-in-belmont,Now Selling,2 - 3 bd,1199 - 1575 SqFt,https://www.livabl.com/calgary-ab/the-restaare-in-belmont
594 Creekstone Circle Southwest,Creekstone,Brookfield Residential,De Winton,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/de-winton-ab/creekstone1,"From $671,900",3 - 5 bd,1884 - 2888 SqFt,https://www.livabl.com/de-winton-ab/creekstone1
85 Sage Hill Crescent Northwest,Sage Hill Street Towns,Calbridge Homes,Calgary,AB,Canada,,Now,Towns & Singles,,Now,,https://www.livabl.com/calgary-ab/sage-hill-street-towns1,"From $535,000",3 - 4 bd,1344 - 2587 SqFt,https://www.livabl.com/calgary-ab/sage-hill-street-towns1
Sage Hill Dr NW & Sage Valley Blvd NW,Sage Hill Crest,Genesis Land Development Corp. and Calbridge Homes,Calgary,AB,Canada,,,Community,,,,https://www.livabl.com/calgary-ab/sage-hill-crest--mpc,"From $535,000",3 - 4 bd,,https://www.livabl.com/calgary-ab/sage-hill-crest--mpc
3320 3 Avenue Northwest,Riviera on the Bow,URBANO,Calgary,AB,Canada,,Now,Condos,,Now,,https://www.livabl.com/calgary-ab/riviera-on-the-bow,"From $528,000",2.5 bd,986 SqFt,https://www.livabl.com/calgary-ab/riviera-on-the-bow
Bow Trail Southwest & 26 Street Southwest,Crown Park - Townhome Collection,Brookfield Residential,Calgary,AB,Canada,,,Townhomes,,,,https://www.livabl.com/calgary-ab/crown-park--townhome-collection,"From $609,500",2 - 3 bd,1250 - 2258 SqFt,https://www.livabl.com/calgary-ab/crown-park--townhome-collection
Bow Trail SW & 26 St SW,Crown Park,Brookfield Residential,Calgary,AB,Canada,,,Community,,,,https://www.livabl.com/calgary-ab/crown-park--mpc,"From $609,500",2 - 3 bd,,https://www.livabl.com/calgary-ab/crown-park--mpc
19489 Main Street Southeast,Seton Serenity,Cedarglen Living,Calgary,AB,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/calgary-ab/seton-serenity,"From $289,000",1 - 3.5 bd,629 - 1804 SqFt,https://www.livabl.com/calgary-ab/seton-serenity
128 Livingston Avenue Northeast,Livingston,Brookfield Residential,Calgary,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/calgary-ab/livingston11,"From $550,400",1 - 4 bd,1150 - 3344 SqFt,https://www.livabl.com/calgary-ab/livingston11
380 Seton Villas Southeast,Seton,Brookfield Residential,Calgary,AB,Canada,,2028,Towns & Singles,,2028,,https://www.livabl.com/calgary-ab/seton8,"From $284,079",1 - 3 bd,500 - 1952 SqFt,https://www.livabl.com/calgary-ab/seton8
95 Homestead Park,Homestead Duplexes,Partners Development Group,Calgary,AB,Canada,,2025,Single Family Homes,,2025,,https://www.livabl.com/calgary-ab/homestead-duplexes,"From $540,000",3 - 5 bd,1561 - 1616 SqFt,https://www.livabl.com/calgary-ab/homestead-duplexes
550 Belmont Street Southwest,Belmont Plaza,Cedarglen Living,Calgary,AB,Canada,,2024,Condos,,2024,,https://www.livabl.com/calgary-ab/belmont-plaza1,Now Selling,1 - 3 bd,631 - 1262 SqFt,https://www.livabl.com/calgary-ab/belmont-plaza1
20 Cornergate Road Northeast,The Castello in Cornerbrook,Luxuria Homes,Calgary,AB,Canada,,,Condos,,,,https://www.livabl.com/calgary-ab/the-castello-in-cornerbrook,Register Now,1 - 2 bd,524 - 791 SqFt,https://www.livabl.com/calgary-ab/the-castello-in-cornerbrook
10520 Metis Trail Northeast,Cityscape by Mattamy Homes,Mattamy Homes Canada,Calgary,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/calgary-ab/cityscape-by-mattamy-homes,"From $437,990",2 - 4 bd,1038 - 2864 SqFt,https://www.livabl.com/calgary-ab/cityscape-by-mattamy-homes
154 Rowley Way Northwest,Rockland Park,Brookfield Residential,Calgary,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/calgary-ab/rockland-park5,"From $742,000",1 - 4 bd,1571 - 3190 SqFt,https://www.livabl.com/calgary-ab/rockland-park5
183 Carrington Circle Northwest,Carrington by Mattamy Homes,Mattamy Homes Canada,Calgary,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/calgary-ab/carrington-by-mattamy-homes,"From $455,990",2 - 5 bd,1038 - 2864 SqFt,https://www.livabl.com/calgary-ab/carrington-by-mattamy-homes
19515 Sheriff King Street,Yorkville by Mattamy Homes,Mattamy Homes Canada,Calgary,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/calgary-ab/yorkville-by-mattamy-homes,"From $442,990",2 - 5 bd,1038 - 2875 SqFt,https://www.livabl.com/calgary-ab/yorkville-by-mattamy-homes
154 Rowley Way Northwest,Front Garage Conventional Collection at Rockland Park,Brookfield Residential,Calgary,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/calgary-ab/front-garage-conventional-collection-at-rockland-park,"From $780,220",1 - 3 bd,1421 - 2589 SqFt,https://www.livabl.com/calgary-ab/front-garage-conventional-collection-at-rockland-park
151 Greenbriar Place Northwest,Artis,Landmark Homes,Calgary,AB,Canada,,Now,Townhomes,,Now,,https://www.livabl.com/calgary-ab/artis,"From $690,000",3 bd,1906 - 1920 SqFt,https://www.livabl.com/calgary-ab/artis
99 Shawnee Boulevard Southwest,Metroside Building 2,Graywood Developments,Calgary,AB,Canada,,2025,Condos,,2025,,https://www.livabl.com/calgary-ab/metroside-building-2,"From $359,990",2 - 3 bd,638 - 922 SqFt,https://www.livabl.com/calgary-ab/metroside-building-2
78 Belvedere Green Southeast,Belvedere Rise,Alliston At Home,Calgary,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/calgary-ab/belvedere-rise,"From $620,000",2 - 4 bd,1270 - 2501 SqFt,https://www.livabl.com/calgary-ab/belvedere-rise
84 St SE & 17 Ave SE,Belvedere,Tristar Communities,Calgary,AB,Canada,,,Community,,,,https://www.livabl.com/calgary-ab/belvedere--mpc,"From $620,000",2 - 4 bd,,https://www.livabl.com/calgary-ab/belvedere--mpc
601 Rochester Avenue,Lodana,Circadian Developments Ltd.,Coquitlam,BC,Canada,,,Condos & Towns,,,,https://www.livabl.com/coquitlam-bc/lodana,"From $400,000",Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/lodana
635 Gardena Drive,Gardena,Intracorp,Coquitlam,BC,Canada,,2027,Condos & Towns,,2027,,https://www.livabl.com/coquitlam-bc/gardena3,Register Now,1 - 3 bd,531 - 1008 SqFt,https://www.livabl.com/coquitlam-bc/gardena3
2 King Edward Street,Debut,Beedie Living,Coquitlam,BC,Canada,,2028,Condos & Towns,,2028,,https://www.livabl.com/coquitlam-bc/debut,Now Selling,1 - 3 bd,593 - 1242 SqFt,https://www.livabl.com/coquitlam-bc/debut
Clarke Road & Como Lake Avenue,Burquitlam Park District,Intergulf Development Group,Coquitlam,BC,Canada,,,Condos,,,,https://www.livabl.com/coquitlam-bc/burquitlam-park-district,Register Now,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/burquitlam-park-district
667 Elmwood Street,Portico,Wanson Group,Coquitlam,BC,Canada,,2026,Condos,,2026,,https://www.livabl.com/coquitlam-bc/portico,Register Now,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/portico
2 King Edward Street,Fraser Mills,Beedie Living,Coquitlam,BC,Canada,,,Condos & Towns,,,,https://www.livabl.com/coquitlam-bc/fraser-mills,Register Now,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/fraser-mills
Como Lake Avenue & Robinson Street,Samer,Domus Homes,Coquitlam,BC,Canada,,,Townhomes,,,,https://www.livabl.com/coquitlam-bc/samer,Register Now,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/samer
639 Aspen Street,The Grove,Foster Living,Coquitlam,BC,Canada,,,Townhomes,,,,https://www.livabl.com/coquitlam-bc/the-grove1,Register Now,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/the-grove1
1331 Olmsted Street,Riley Park South,Mosaic Homes,Coquitlam,BC,Canada,,Now,Townhomes,,Now,,https://www.livabl.com/coquitlam-bc/riley-park-south,"From $1,089,900",3 - 4 bd,1321 - 1554 SqFt,https://www.livabl.com/coquitlam-bc/riley-park-south
