Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url,Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
20 Soudan Avenue,Y&S Condos,Tenblock Developments,Davisville Village,Ontario,Canada,,2024,Condo,,13 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/02/ys-condos-exterior-rendering-260x260.jpg,"$699,990",,600 to 1224 sq.ft.,https://www.talkcondo.com/toronto/y-s-condos/,"Y&S Condos is a new condominium development by Tenblock Developments & Tribute Communities currently under construction located at 20 Soudan Avenue, Toronto in the Davisville Village neighbourhood with a 99/100 walk score and a 95/100 transit score. Y&S Condos is designed by Graziani + Corazza Architects Inc.. Development is scheduled to be completed in 2024. The project is 38 storeys tall and has a total of 335 suites ranging from 412 sq.ft to 1226 sq.ft. Suites are priced from $699,990 to $1,999,000.",Under Construction,Yes,"$99,000",Yes,Waitlist,Condo,5% On Signing || 5% - 90 days || 5% - 180 days || 1% - Occupancy || 
2010 Bathurst Street,The Rhodes Condos,Blackdoor Development Company,Cedarvale-Oakwood Vaughan,Ontario,Canada,,,Condo,,13 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2020/03/the-rhodes-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/the-rhodes-condos/,"The Rhodes Condos is a new condominium development by Blackdoor Development Company currently under construction located at 2010 Bathurst Street, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 90/100 walk score and a 80/100 transit score. The Rhodes Condos is designed by RAW Design and will feature interior design by Ali Budd Interiors. Development is scheduled to be completed in 2024. The project is 8 storeys tall and has a total of 25 suites.",Under Construction,Yes,-,Yes,-,Condo,
177 Caledonia Road,St. Clair Village,Frontdoor Developments,Corso Italia-Earlscourt,Ontario,Canada,,2024,Condo,,2 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2020/08/st-clair-village-streetscape-01-260x260.jpg,"$1,519,900",,3010 to 3040 sq.ft.,https://www.talkcondo.com/toronto/st-clair-village/,"St. Clair Village is a new condominium development by Frontdoor Developments currently under construction located at 177 Caledonia Road, Toronto in the Corso Italia-Earlscourt neighbourhood with a 70/100 walk score and a 74/100 transit score. St. Clair Village is designed by Hunt Design Associates Inc.. Development is scheduled to be completed in 2024. The project has a total of 41 suites ranging from 2015 sq.ft to 3040 sq.ft. Suites are priced from $1,519,900 to $1,529,900.",Under Construction,Yes,"$65,000",Yes,-,Single Family Home,"$25,000.00 On Signing || $25,000.00 - 30 days || $25,000.00 - 60 days || $25,000.00 - 150 days || $20,000.00 - 210 days || "
25 Holly Street,Plaza Midtown Condos,Plaza,Davisville Village,Ontario,Canada,,2023,Condo,,13 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/04/plaza-midtown-condos-rendering-03-260x260.jpg,"$840,000",,582 to 1058 sq.ft.,https://www.talkcondo.com/toronto/plaza-midtown-condos/,"Plaza Midtown Condos is a new condominium development by Plaza currently under construction located at 25 Holly Street, Toronto in the Davisville Village neighbourhood with a 98/100 walk score and a 95/100 transit score. Plaza Midtown Condos is designed by BDP Quadrangle. Development is scheduled to be completed in 2023. The project is 34 storeys tall (106.8m, 350.4ft) and has a total of 545 suites ranging from 480 sq.ft to 1058 sq.ft. Plaza Midtown Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $840,000 to $1,542,000.",Under Construction,Yes,Included (1) - Available for 3B,Yes,Included (1) - Available for 2B & 3B,Condo &Townhouse,5% On Signing || 5% - 90 days || 5% - 180 days || 1% - Occupancy || 
39 Roehampton Avenue,E2 Condos,Capital Developments,Yonge & Eglinton,Ontario,Canada,,2023,Condo,,6 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/10/e2-condos-exterior-rendering-260x260.jpg,"$1,235,990",,711 to 2022 sq.ft.,https://www.talkcondo.com/toronto/e2-condos/,"E2 Condos is a new condominium development by Capital Developments & Metropia Urban Landscapes & RioCan Living that is now complete located at 39 Roehampton Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 98/100 walk score and a 94/100 transit score. E2 Condos is designed by TACT Architecture Inc.. Development is scheduled to be completed in 2023. The project is 48 storeys tall and has a total of 440 suites ranging from 626 sq.ft to 2022 sq.ft. Suites are priced from $1,235,990 to $2,849,990.",Complete,Yes,Included (1),Yes,Included (1),Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Occupancy || "
25 Lascelles Boulevard,Deer Park Crossing,O'Shanter,Deer Park,Ontario,Canada,,,Condo,,6 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/10/deer-park-crossing-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/deer-park-crossing/,"Deer Park Crossing is a new condominium development by O'Shanter that is now complete located at 25 Lascelles Boulevard, Toronto in the Deer Park neighbourhood with a 83/100 walk score and a 82/100 transit score. Deer Park Crossing is designed by Julian Jacobs Architects and will feature interior design by Victoria Mansell. The project is 3 storeys tall and has a total of 10 suites ranging from 2958 sq.ft to 2980 sq.ft.",Complete,Yes,Included (2),Yes,-,Townhouse,
328 Dupont Street,ANX Condos,Freed Developments,Casa Loma,Ontario,Canada,,2024,Condo,,10 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/10/anx-condos-rendering-003-260x260.jpeg,"$1,217,900",,701 to 1939 sq.ft.,https://www.talkcondo.com/toronto/anx-condos/,"ANX Condos is a new condominium development by Freed Developments currently under construction located at 328 Dupont Street, Toronto in the Casa Loma neighbourhood with a 94/100 walk score and a 95/100 transit score. ANX Condos is designed by Teeple Architects and will feature interior design by Johnson Chou. Development is scheduled to be completed in 2024. The project is 13 storeys tall and has a total of 118 suites ranging from 441 sq.ft to 1945 sq.ft. Suites are priced from $1,217,900 to $4,047,900.",Under Construction,Yes,"$85,000",Yes,"$10,000",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 10% - Occupancy || "
350 Davenport Road,350 Davenport Condos,EllisDon Capital,The Annex,Ontario,Canada,,,Condo,,10 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/07/350-davenport-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/350-davenport-condos/,"350 Davenport Condos is a new condominium development by EllisDon Capital currently in pre-construction located at 350 Davenport Road, Toronto in the The Annex neighbourhood with a 88/100 walk score and a 89/100 transit score. 350 Davenport Condos is designed by BBB Architects. Development is scheduled to be completed in 2025. The project is 8 storeys tall and has a total of 6 suites.",Pre-Construction,Yes,Included (1),Yes,-,Condo,
10 Wilby Crescent,The Humber Condos,Deltera Inc,Weston,Ontario,Canada,,2023,Condo,,4 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/04/the-humber-condos-rendering-260x260.jpg,"$685,900",,649 to 968 sq.ft.,https://www.talkcondo.com/toronto/the-humber-condos/,"The Humber Condos is a new condominium development by Deltera Inc. & Options for Homes that is now complete located at 10 Wilby Crescent, Toronto in the Weston neighbourhood with a 86/100 walk score and a 83/100 transit score. The Humber Condos is designed by Architecture Unfolded & HCA Architecture. Development is scheduled to be completed in 2023. The project is 22 storeys tall and has a total of 233 suites ranging from 617 sq.ft to 1021 sq.ft. Suites are priced from $685,900 to $883,900.",Complete,Yes,Included (1),Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || "
699 Sheppard Avenue East,Six99 Condos,Harlo Capital,Bayview Village,Ontario,Canada,,2024,Condo,,17 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/02/six99-condos-rendering-01-260x260.jpeg,"$660,000",,389 to 1198 sq.ft.,https://www.talkcondo.com/toronto/six99-condos/,"Six99 Condos is a new condominium development by Harlo Capital & Originate Developments Inc. currently under construction located at 699 Sheppard Avenue East, Toronto in the Bayview Village neighbourhood with a 70/100 walk score and a 71/100 transit score. Six99 Condos is designed by SRM Architects and will feature interior design by Truong Ly Design Inc.. Development is scheduled to be completed in 2024. The project is 12 storeys tall and has a total of 174 suites ranging from 389 sq.ft to 1198 sq.ft. Suites are priced from $660,000 to $1,998,000.",Under Construction,Yes,"$87,000",Yes,"$15,000",Condo,"$10,000.00 On Signing || Balance to 2.5% - 15 days || 2.5% - 210 days || 2.5% - 390 days || 2.5% - 570 days || "
431 Roehampton Avenue,Savile on the Roe Condos,Block Developments,Yonge & Eglinton,Ontario,Canada,,2023,Condo,,4 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/01/savile-on-the-roe-rendering-01-260x260.jpg,"$3,099,990",,1959 to 2405 sq.ft.,https://www.talkcondo.com/toronto/savile-on-the-roe-condos/,"Savile on the Roe Condos is a new condominium development by Block Developments & Tiffany Park Homes & Trolleybus Urban Development Inc currently under construction located at 431 Roehampton Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 85/100 walk score and a 82/100 transit score. Savile on the Roe Condos is designed by RAW Design and will feature interior design by Tomas Pearce Interior Design Consulting Inc.. Development is scheduled to be completed in 2023. The project is 5 storeys tall and has a total of 28 suites ranging from 920 sq.ft to 2405 sq.ft. Suites are priced from $3,099,990 to $3,399,990.",Under Construction,Yes,"$89,990",Yes,"$11,400",Townhouse,"$10,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 365 days || 2.5% - 540 days || 2.5% - 730 days || 5% - Occupancy || "
1 Bloor Street East,One Bloor Condos,Great Gulf Homes,Church & Wellesley,Ontario,Canada,,2017,Condo,,2 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/03/one-bloor-condos-rendering-19-260x260.jpg,"$5,309,990",,3164 to 5741 sq.ft.,https://www.talkcondo.com/toronto/one-bloor-condos/,"One Bloor Condos is a new condominium development by Great Gulf Homes that is now complete located at 1 Bloor Street East, Toronto in the Church & Wellesley neighbourhood with a 100/100 walk score and a 100/100 transit score. One Bloor Condos is designed by Hariri Pontarini Architects and will feature interior design by Cecconi Simone. Development is scheduled to be completed in 2017. The project is 76 storeys tall (257.0m, 843.2ft) and has a total of 789 suites ranging from 535 sq.ft to 5741 sq.ft. One Bloor Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $5,309,990 to $9,819,990.",Complete,Yes,Included (1),Yes,Included (1),Condo &Luxury,"$20,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 180 days || 5% - Occupancy || "
6 Tippett Road,Express 2 Condos,Malibu Investments Inc,Clanton Park,Ontario,Canada,,2026,Condo,,5 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/04/express-2-condos-rendering-260x260.jpeg,"$639,990",,460 to 618 sq.ft.,https://www.talkcondo.com/toronto/express-2-condos/,"Express 2 Condos is a new condominium development by Malibu Investments Inc. currently in pre-construction located at 6 Tippett Road, Toronto in the Clanton Park neighbourhood with a 34/100 walk score and a 92/100 transit score. Express 2 Condos is designed by RAW Design and will feature interior design by Figure3. Development is scheduled to be completed in 2026. The project is 16 storeys tall and has a total of 395 suites ranging from 403 sq.ft to 849 sq.ft. Suites are priced from $639,990 to $811,990.",Pre-Construction,Yes,"$63,000",Yes,"$5,000",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 2.5% - 300 days || 2.5% - 400 days || 2.5% - 600 days || 2.5% - 730 days || "
771 Yonge Street,Adagio Condos,Menkes Developments Ltd,Yorkville,Ontario,Canada,,2025,Condo,,12 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/07/adagio-condos-hero-rendering-260x260.jpg,"$1,192,990",,659 to 973 sq.ft.,https://www.talkcondo.com/toronto/adagio-condos/,"Adagio Condos is a new condominium development by Menkes Developments Ltd. currently under construction located at 771 Yonge Street, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 99/100 transit score. Adagio Condos is designed by Giannone Petricone Associates Inc. and will feature interior design by Figure3. Development is scheduled to be completed in 2025. The project is 26 storeys tall (161.0m, 528.2ft) and has a total of 202 suites ranging from 372 sq.ft to 993 sq.ft. Adagio Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $1,192,990 to $1,859,990.",Under Construction,Yes,"$180,000",Yes,-,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 10% - Occupancy || "
128 Pears Avenue,The Perry Condos,Mansouri Living,The Annex,Ontario,Canada,,2018,Condo,,1 Condo for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2014/09/the-perry-condos-02-260x260.jpg,"$849,000",,725 sq.ft.,https://www.talkcondo.com/toronto/perry-condos/,"The Perry Condos is a new condominium development by Mansouri Living that is now complete located at 128 Pears Avenue, Toronto in the The Annex neighbourhood with a 94/100 walk score and a 90/100 transit score. The Perry Condos is designed by Young and Wright & IBI Group and will feature interior design by The Design Agency. Development is scheduled to be completed in 2018. The project is 11 storeys tall and has a total of 45 suites ranging from 687 sq.ft to 2921 sq.ft. Suites are priced from $849,000 to $849,000.",Complete,Yes,Included (1),Yes,Included (1),Condo &Luxury &Townhouse,5% On Signing || 15% - Occupancy || 
1787 Saint Clair Avenue West,Scout Condos,Graywood Developments Ltd,The Junction,Ontario,Canada,,2023,Condo,,2 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/07/scout-condos-rendering-260x260.jpg,"$961,000",,1125 to 1142 sq.ft.,https://www.talkcondo.com/toronto/scout-condos/,"Scout Condos is a new condominium development by Graywood Developments Ltd that is now complete located at 1787 Saint Clair Avenue West, Toronto in the The Junction neighbourhood with a 95/100 walk score and a 83/100 transit score. Scout Condos is designed by SMV Architects and will feature interior design by TACT Design. Development is scheduled to be completed in 2023. The project is 12 storeys tall and has a total of 269 suites ranging from 452 sq.ft to 1255 sq.ft. Suites are priced from $961,000 to $965,000.",Complete,Yes,"$45,000",Yes,"$6,000",Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 10% - Occupancy || "
500 Dupont Street,Oscar Residences,Lifetime Developments,Davenport-Wychwood,Ontario,Canada,,2024,Condo,,8 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/01/oscar-residences-condos-exterior-260x260.jpg,"$904,990",,615 to 896 sq.ft.,https://www.talkcondo.com/toronto/oscar-residences/,"Oscar Residences is a new condominium development by Lifetime Developments currently under construction located at 500 Dupont Street, Toronto in the Davenport-Wychwood neighbourhood with a 88/100 walk score and a 94/100 transit score. Oscar Residences is designed by Turner Fleischer Architects and will feature interior design by Mason Studio. Development is scheduled to be completed in 2024. The project is 9 storeys tall (38.0m, 124.7ft) and has a total of 155 suites ranging from 340 sq.ft to 896 sq.ft. Oscar Residences is the # tallest condominium in . Suites are priced from $904,990 to $1,303,990.",Under Construction,Yes,"$79,990",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Occupancy || "
1720 Bayview Avenue,Leaside Common Condos,Gairloch,Davisville Village,Ontario,Canada,,2025,Condo,,22 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/09/leaside-common-rendering-01-260x260.jpg,"$801,900",,414 to 2251 sq.ft.,https://www.talkcondo.com/toronto/leaside-common-condos/,"Leaside Common Condos is a new condominium development by Gairloch & Harlo Capital currently in pre-construction located at 1720 Bayview Avenue, Toronto in the Davisville Village neighbourhood with a 87/100 walk score and a 71/100 transit score. Leaside Common Condos is designed by BDP Quadrangle and will feature interior design by Sixteen Degree Studio Inc.. Development is scheduled to be completed in 2025. The project is 9 storeys tall and has a total of 198 suites ranging from 357 sq.ft to 2251 sq.ft. Suites are priced from $801,900 to $3,989,800.",Pre-Construction,Yes,"$85,000",Yes,Waitlist,Condo &Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 375 days || 2.5% - 500 days || 2.5% - 600 days || 2.5% - 725 days || 5% - Occupancy || "
26 Birch Avenue,36 Birch Condos,North Drive,Summerhill,Ontario,Canada,,2022,Condo,,5 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/08/36-birch-avenue-towns-rendering-1-260x260.jpg,"$2,885,000",,2196 to 2832 sq.ft.,https://www.talkcondo.com/toronto/36-birch-condos/,"36 Birch Condos is a new condominium development by North Drive currently under construction located at 26 Birch Avenue, Toronto in the Summerhill neighbourhood with a 91/100 walk score and a 91/100 transit score. 36 Birch Condos is designed by Richard Wengle Architect Inc. and will feature interior design by Michael London Design Inc.. Development is scheduled to be completed in 2022. The project is 4 storeys tall and has a total of 27 suites ranging from 2086 sq.ft to 3186 sq.ft. Suites are priced from $2,885,000 to $3,995,000.",Under Construction,Yes,Included (2),Yes,Included (1),Condo,"$20,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 270 days || 5% - 365 days || 5% - Occupancy || "
3200 Dundas Street West,Craft Residences,Gairloch,The Junction,Ontario,Canada,,2026,Condo,,9 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/05/craft-residences-exterior-north-view-260x260.jpg,"$764,900",,490 to 1318 sq.ft.,https://www.talkcondo.com/toronto/craft-residences/,"Craft Residences is a new condominium development by Gairloch & Tenblock Developments currently in pre-construction located at 3200 Dundas Street West, Toronto in the The Junction neighbourhood with a 87/100 walk score and a 73/100 transit score. Craft Residences is designed by BDP Quadrangle and will feature interior design by Mason Studio. Development is scheduled to be completed in 2026. The project is 8 storeys tall and has a total of 86 suites ranging from 411 sq.ft to 1318 sq.ft. Suites are priced from $764,900 to $2,016,000.",Pre-Construction,Yes,"$85,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 2.5% - 375 days || 2.5% - 725 days || 5% - Occupancy || "
